spring_id,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units
395400,TRANSFORMER,2,0.2553447797080658,0.010503143350548439,0.031001589729367476,12.321537640665918,0.015855498033075326,0.14308466621913984,1.8272815765190462e-05,0.0001648992506695165,16,4,16,2,32
395400,TRANSFORMER,3,0.16941243495287828,0.011701633782909606,0.0327249641996992,13.942629118933171,0.015855498033075326,0.14308466621913984,1.8272815765190462e-05,0.0001648992506695165,16,4,16,2,32
395400,TRANSFORMER,4,0.1165867884642302,0.012683497027475453,0.03374179161773804,15.460593087161127,0.015855498033075326,0.14308466621913984,1.8272815765190462e-05,0.0001648992506695165,16,4,16,2,32
395426,TRANSFORMER,1,0.9775957059258991,0.0004906923376684,0.0009633866850519647,1.6299375443235709,0.019957677747794438,0.18010393953537918,2.0861681567802165e-05,0.00018826193523988527,8,4,32,2,64
395426,TRANSFORMER,2,0.9271119881689837,0.0006503326036826292,0.0017402728223598245,2.104240770161023,0.019957677747794438,0.18010393953537918,2.0861681567802165e-05,0.00018826193523988527,8,4,32,2,64
395426,TRANSFORMER,3,0.858593401430224,0.0008363374526091319,0.0024281430246056676,2.6499289304283793,0.019957677747794438,0.18010393953537918,2.0861681567802165e-05,0.00018826193523988527,8,4,32,2,64
395426,TRANSFORMER,4,0.7935270584414315,0.0010133997200299694,0.002939037176205466,3.1787981734009056,0.019957677747794438,0.18010393953537918,2.0861681567802165e-05,0.00018826193523988527,8,4,32,2,64
395434,TRANSFORMER,1,0.8695936831143984,0.01870127526522573,0.04285045579004752,2.8577611660536157,0.017913183781772778,0.1616538261359129,4.13610114971271e-05,0.0003732539029809687,8,2,16,2,64
395434,TRANSFORMER,2,0.7847058811056972,0.025736774380607147,0.05506907323260294,3.8220147778454323,0.017913183781772778,0.1616538261359129,4.13610114971271e-05,0.0003732539029809687,8,2,16,2,64
395434,TRANSFORMER,3,0.7161710603695016,0.032296187317131346,0.0632394000833364,4.842987592549112,0.017913183781772778,0.1616538261359129,4.13610114971271e-05,0.0003732539029809687,8,2,16,2,64
395434,TRANSFORMER,4,0.6613434500318017,0.03725177697495636,0.0690729092307163,5.5758926607902515,0.017913183781772778,0.1616538261359129,4.13610114971271e-05,0.0003732539029809687,8,2,16,2,64
395483,TRANSFORMER,1,0.9315918657594816,0.00573337154884147,0.01249549071872952,3.506638166617807,0.03281827595656952,0.29616175104293324,2.6779159693882113e-05,0.00024166299402485393,8,2,16,2,64
395483,TRANSFORMER,2,0.8604765690022644,0.007376475985179294,0.017806852691818142,4.086865682918245,0.03281827595656952,0.29616175104293324,2.6779159693882113e-05,0.00024166299402485393,8,2,16,2,64
395483,TRANSFORMER,3,0.6512616077237083,0.01113296727436141,0.0305000817410334,6.304723676770646,0.03281827595656952,0.29616175104293324,2.6779159693882113e-05,0.00024166299402485393,8,2,16,2,64
395483,TRANSFORMER,4,0.4839133108316469,0.013518277333566505,0.04054636507390613,7.24375290110803,0.03281827595656952,0.29616175104293324,2.6779159693882113e-05,0.00024166299402485393,8,2,16,2,64
395509,TRANSFORMER,1,0.962783465594436,0.007270678619888575,0.014830862542505574,6.624592991609284,0.02958755587279632,0.2670067851207118,5.0179114528400044e-05,0.00045283105194744293,16,4,16,1,64
395509,TRANSFORMER,2,0.9139133743623005,0.010390492570512848,0.022640504310118416,8.294360505403374,0.02958755587279632,0.2670067851207118,5.0179114528400044e-05,0.00045283105194744293,16,4,16,1,64
395509,TRANSFORMER,3,0.8726541124975975,0.013245822968351178,0.027594978450725633,10.238375476403306,0.02958755587279632,0.2670067851207118,5.0179114528400044e-05,0.00045283105194744293,16,4,16,1,64
395509,TRANSFORMER,4,0.8348544906194644,0.01535819863261855,0.03145931001517228,11.570259518171016,0.02958755587279632,0.2670067851207118,5.0179114528400044e-05,0.00045283105194744293,16,4,16,1,64
395541,TRANSFORMER,1,0.9458599822246669,0.010075106384466749,0.017705546441406764,16.683302091272335,0.024450690220637537,0.22065020233041127,3.3488779925298046e-05,0.00030221257558114687,8,2,16,2,64
