spring_id,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],embedding_dim,dropout,learning_rate,architecture,frozen_layers
395285,xLSTM_TRANSFER,3,0.7867527821798496,0.014643401313161967,0.028735077919655436,16.772394426115454,0.0008807784487515173,0.007948403140016581,2.7077586070805e-05,0.00024435608120785656,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395285,xLSTM_TRANSFER,4,0.74561371612081,0.016796077447975136,0.03139297498043022,19.34929267314384,0.0008807784487515173,0.007948403140016581,2.7077586070805e-05,0.00024435608120785656,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395145,xLSTM_TRANSFER,1,0.21597722795787466,0.3076188759759227,0.9507127462370736,30.615360634490408,0.0006968714880800753,0.006288772769014866,1.757515516304233e-05,0.00015860335670362714,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395145,xLSTM_TRANSFER,2,0.07284342446310665,0.3778619075951893,1.0338709992751827,41.7053462119534,0.0006968714880800753,0.006288772769014866,1.757515516304233e-05,0.00015860335670362714,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395145,xLSTM_TRANSFER,3,0.029380451648555517,0.40921883805655934,1.0579492460403124,47.78407779183602,0.0006968714880800753,0.006288772769014866,1.757515516304233e-05,0.00015860335670362714,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395145,xLSTM_TRANSFER,4,0.019058381248471923,0.4282066589271419,1.0637032219792277,53.04504165561044,0.0006968714880800753,0.006288772769014866,1.757515516304233e-05,0.00015860335670362714,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395137,xLSTM_TRANSFER,1,0.48686875902601756,0.10104196749896302,0.25542084884493504,25.48119290440073,0.0008320803450322586,0.007508937164136183,2.4833731452363154e-05,0.0002241068787889683,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395137,xLSTM_TRANSFER,2,0.25802802249114,0.1385879707386803,0.3071733213274503,38.87522221745155,0.0008320803450322586,0.007508937164136183,2.4833731452363154e-05,0.0002241068787889683,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395137,xLSTM_TRANSFER,3,0.18279581366641107,0.1589661074939607,0.32243715005623025,47.94624633373879,0.0008320803450322586,0.007508937164136183,2.4833731452363154e-05,0.0002241068787889683,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395137,xLSTM_TRANSFER,4,0.1400013282107183,0.16860281106065822,0.3310039654152333,52.49751652575555,0.0008320803450322586,0.007508937164136183,2.4833731452363154e-05,0.0002241068787889683,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395251,xLSTM_TRANSFER,1,0.7666328823632507,0.16901210760233681,0.43740663334380114,12.872959595562863,0.0007743305811100003,0.006987786350846482,2.7375419830703915e-05,0.0002470438204409623,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395251,xLSTM_TRANSFER,2,0.6239278104943613,0.236148009048516,0.5553314984523366,18.850395662824855,0.0007743305811100003,0.006987786350846482,2.7375419830703915e-05,0.0002470438204409623,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395251,xLSTM_TRANSFER,3,0.5453671492963257,0.27360712955049354,0.6106707048364652,22.687996273568096,0.0007743305811100003,0.006987786350846482,2.7375419830703915e-05,0.0002470438204409623,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395251,xLSTM_TRANSFER,4,0.5014077665816656,0.2936709997885755,0.6395586377138797,24.757720632486514,0.0007743305811100003,0.006987786350846482,2.7375419830703915e-05,0.0002470438204409623,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395103,xLSTM_TRANSFER,1,0.6972988453924667,0.5196377187732958,1.2794290341761292,16.079310624995216,0.0012530002567163723,0.011307441944161032,2.6929181475492005e-05,0.00024301683459816633,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395103,xLSTM_TRANSFER,2,0.5995796147229553,0.6823249863305092,1.47178036776795,23.946557174909525,0.0012530002567163723,0.011307441944161032,2.6929181475492005e-05,0.00024301683459816633,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395103,xLSTM_TRANSFER,3,0.5378591349961392,0.7632773574200993,1.5815063139003616,26.908928025662362,0.0012530002567163723,0.011307441944161032,2.6929181475492005e-05,0.00024301683459816633,64,0.1,0.0001,slstm_first,"input_proj, backbone"
395103,xLSTM_TRANSFER,4,0.5172072864026571,0.8024120433866527,1.6167559475927995,29.16174213138688,0.0012530002567163723,0.011307441944161032,2.6929181475492005e-05,0.00024301683459816633,64,0.1,0.0001,slstm_first,"input_proj, backbone"
