spring_id,spring_type,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units
395244,TRAIN,TRANSFORMER_LARGE,1,0.942399464998052,0.03193779214369698,0.07071485710867656,6.012656645501916,0.398871578417623,3.5995341516949697,3.498430015831915e-05,0.00031570858894631586,8,4,16,2,64
395244,TRAIN,TRANSFORMER_LARGE,2,0.8820518074010234,0.048240805706302306,0.10118475294827356,8.828633655840738,0.398871578417623,3.5995341516949697,3.498430015831915e-05,0.00031570858894631586,8,4,16,2,64
395244,TRAIN,TRANSFORMER_LARGE,3,0.8072209292448361,0.06478090493606277,0.12935116321391354,11.705956671701463,0.398871578417623,3.5995341516949697,3.498430015831915e-05,0.00031570858894631586,8,4,16,2,64
395244,TRAIN,TRANSFORMER_LARGE,4,0.7487484287245096,0.07714169891925134,0.1476604559786782,14.071018675543494,0.398871578417623,3.5995341516949697,3.498430015831915e-05,0.00031570858894631586,8,4,16,2,64
395251,UNSEEN,TRANSFORMER_LARGE,1,0.7275362951070387,0.1858573703229943,0.4726284521804612,14.10282032263286,0.398871578417623,3.5995341516949697,3.816424727205649e-05,0.0003444053646902546,8,4,16,2,64
395251,UNSEEN,TRANSFORMER_LARGE,2,0.6030332877308094,0.25607784766376135,0.5705500439998225,20.54537190284227,0.398871578417623,3.5995341516949697,3.816424727205649e-05,0.0003444053646902546,8,4,16,2,64
395251,UNSEEN,TRANSFORMER_LARGE,3,0.5218904231890225,0.30031401880297676,0.6262394189425777,25.091207044393506,0.398871578417623,3.5995341516949697,3.816424727205649e-05,0.0003444053646902546,8,4,16,2,64
395251,UNSEEN,TRANSFORMER_LARGE,4,0.47004879716149484,0.3195838281205446,0.6593644909241225,26.28769407589445,0.398871578417623,3.5995341516949697,3.816424727205649e-05,0.0003444053646902546,8,4,16,2,64
395285,UNSEEN,TRANSFORMER_LARGE,1,0.9124812825161678,0.00760237639271455,0.01839811584627207,8.146639026444678,0.398871578417623,3.5995341516949697,3.985761316551937e-05,0.000359686795342737,8,4,16,2,64
395285,UNSEEN,TRANSFORMER_LARGE,2,0.8342115650488724,0.011964021350645698,0.025329179509881866,13.143040056873335,0.398871578417623,3.5995341516949697,3.985761316551937e-05,0.000359686795342737,8,4,16,2,64
395285,UNSEEN,TRANSFORMER_LARGE,3,0.7676729745674502,0.01564306170852455,0.029993044960525943,17.484626468255822,0.398871578417623,3.5995341516949697,3.985761316551937e-05,0.000359686795342737,8,4,16,2,64
395285,UNSEEN,TRANSFORMER_LARGE,4,0.7222326179143332,0.018105256373799738,0.032803958323868454,20.074164900426673,0.398871578417623,3.5995341516949697,3.985761316551937e-05,0.000359686795342737,8,4,16,2,64
395319,UNSEEN_MEANSCALING,TRANSFORMER_LARGE,1,-0.5396837143973683,0.7226210891283497,0.9265566930719911,65.15046004675953,0.398871578417623,3.5995341516949697,3.7563547316527975e-05,0.0003389844720475037,8,4,16,2,64
395319,UNSEEN_MEANSCALING,TRANSFORMER_LARGE,2,-0.5561480829690586,0.7238523396635509,0.9318598004621914,65.5858583293921,0.398871578417623,3.5995341516949697,3.7563547316527975e-05,0.0003389844720475037,8,4,16,2,64
395319,UNSEEN_MEANSCALING,TRANSFORMER_LARGE,3,-0.5797082029465317,0.7284880160425181,0.9393318382115986,66.49182669314081,0.398871578417623,3.5995341516949697,3.7563547316527975e-05,0.0003389844720475037,8,4,16,2,64
395319,UNSEEN_MEANSCALING,TRANSFORMER_LARGE,4,-0.49966528308886415,0.7105958831943925,0.915645134694095,65.03332430232312,0.398871578417623,3.5995341516949697,3.7563547316527975e-05,0.0003389844720475037,8,4,16,2,64
395327,TRAIN,TRANSFORMER_LARGE,1,0.9949932125563731,0.00434827332512712,0.008400394353305569,1.932963564822144,0.398871578417623,3.5995341516949697,4.0478017202647084e-05,0.0003652855033989738,8,4,16,2,64
