spring_id,model,horizon,nse,mae,rmse,smape,emissions [kg CO₂],energy [kWh]
395137,BASELINE,1,0.17588417526848832,0.18707930422557256,0.3236951871901462,52.64324194855343,3.898368315923189e-06,3.51800194556834e-05
395137,BASELINE,2,0.0961139754110244,0.2024116433638955,0.33903659491014504,57.74522872166184,3.898368315923189e-06,3.51800194556834e-05
395137,BASELINE,3,0.05316841195615507,0.2126274482091701,0.347069261381479,61.33501006610816,3.898368315923189e-06,3.51800194556834e-05
395137,BASELINE,4,0.026906030312300322,0.21972425727561065,0.3520964909652507,63.83398527099057,3.898368315923189e-06,3.51800194556834e-05
395145,BASELINE,1,-0.04495180449535763,0.5122336950201788,1.0975722237862557,52.83928421738013,3.857545504256011e-06,3.4811622425874557e-05
395145,BASELINE,2,-0.11052049861578084,0.5490782385904315,1.131496203856983,58.202503051908835,3.857545504256011e-06,3.4811622425874557e-05
395145,BASELINE,3,-0.15261707387617252,0.5760261254952725,1.152876642602445,62.413446607147115,3.857545504256011e-06,3.4811622425874557e-05
395145,BASELINE,4,-0.1783586318489776,0.5949067077145155,1.1658364720791417,65.63339831238184,3.857545504256011e-06,3.4811622425874557e-05
395210,BASELINE,1,0.26939911440266984,0.6132032719237613,1.2588658583469605,44.2712405548734,3.896698855829456e-06,3.516495375798159e-05
395210,BASELINE,2,0.2321341426328991,0.649422201894083,1.290743374945369,48.04379057830045,3.896698855829456e-06,3.516495375798159e-05
395210,BASELINE,3,0.21265067972237783,0.6708345466672518,1.3071800526791961,50.63115165747555,3.896698855829456e-06,3.516495375798159e-05
395210,BASELINE,4,0.20010498497852414,0.6892144753762839,1.3176710570359769,52.91741844958492,3.896698855829456e-06,3.516495375798159e-05
395244,BASELINE,1,0.7829486814448658,0.0773600295220975,0.13727094509451537,14.297552494427824,3.879984811253177e-06,3.501412131586089e-05
395244,BASELINE,2,0.7294190168493988,0.0885218329730153,0.15325620449904984,16.566958347986393,3.879984811253177e-06,3.501412131586089e-05
395244,BASELINE,3,0.6830453908863101,0.09819564944820042,0.1658589581754764,18.59736910771364,3.879984811253177e-06,3.501412131586089e-05
395244,BASELINE,4,0.6425658680007866,0.10671787087106503,0.1761196536916885,20.421748749262736,3.879984811253177e-06,3.501412131586089e-05
395251,BASELINE,1,0.5411207575165027,0.3173133878741582,0.6133589969742802,26.143353281850274,4.052625357813305e-06,3.657208026038069e-05
395251,BASELINE,2,0.47037970096581494,0.35070469202868737,0.6590206286340768,29.11541954360608,4.052625357813305e-06,3.657208026038069e-05
395251,BASELINE,3,0.4183904539334845,0.3753908063589285,0.6907047498406997,31.381987089741237,4.052625357813305e-06,3.657208026038069e-05
395251,BASELINE,4,0.37387792560901456,0.39595084133582387,0.7166995334702945,33.2400194371869,4.052625357813305e-06,3.657208026038069e-05
395285,BASELINE,1,0.7596893285102605,0.017721477286961405,0.03048662896229185,19.657110228599226,3.8998335212146986e-06,3.519324189812203e-05
395285,BASELINE,2,0.7073498702580281,0.02020092525225789,0.033652580087298066,22.60682372775967,3.8998335212146986e-06,3.519324189812203e-05
395285,BASELINE,3,0.6614555688729118,0.022355016739857115,0.03620583181383733,25.23935561242347,3.8998335212146986e-06,3.519324189812203e-05
395285,BASELINE,4,0.6189394708894465,0.02429014481627873,0.03842223391871438,27.63982941773185,3.8998335212146986e-06,3.519324189812203e-05
395327,BASELINE,1,0.932369323850857,0.01671670951347783,0.030873933317188434,6.696801287980909,4.055155134551788e-06,3.659490970789976e-05
395327,BASELINE,2,0.9059521535294145,0.01988546902229269,0.03641145337900898,7.996448547955696,4.055155134551788e-06,3.659490970789976e-05
395327,BASELINE,3,0.877602023752584,0.022832450682166036,0.04154380648065472,9.21452280067329,4.055155134551788e-06,3.659490970789976e-05
395327,BASELINE,4,0.8478465022813357,0.025579709240556563,0.04632499368718153,10.355630562440025,4.055155134551788e-06,3.659490970789976e-05
395343,BASELINE,1,0.817898135094988,0.01388835612238784,0.022930773293925923,15.294734740245376,4.042795591798825e-06,3.648337356783404e-05
395343,BASELINE,2,0.7725996163787269,0.015876126572275433,0.0255826627270112,17.608470887555598,4.042795591798825e-06,3.648337356783404e-05
395343,BASELINE,3,0.7298079092526288,0.017636025055826322,0.027836703380217185,19.661750434475923,4.042795591798825e-06,3.648337356783404e-05
395343,BASELINE,4,0.6874620835006637,0.01930822239836377,0.02991497901272567,21.573154650237655,4.042795591798825e-06,3.648337356783404e-05
395350,BASELINE,1,0.9827422034677034,0.001999846641788316,0.0028629554155841512,2.265762120207391,3.889169034676322e-06,3.509700244266255e-05
395350,BASELINE,2,0.9768639975703944,0.002377724555462906,0.003314149958574163,2.6964056125813114,3.889169034676322e-06,3.509700244266255e-05
395350,BASELINE,3,0.9702858335118867,0.0027496655971535736,0.0037552036091764766,3.1180555983152436,3.889169034676322e-06,3.509700244266255e-05
395350,BASELINE,4,0.9628565032873965,0.0031169303934180724,0.004197855880998326,3.534183350879641,3.889169034676322e-06,3.509700244266255e-05
395368,BASELINE,1,0.9532756854815544,0.003719632753386163,0.005760651821152089,4.205871479365815,3.893914390438893e-06,3.5139825925341055e-05
395368,BASELINE,2,0.9363852193960847,0.004373692594413201,0.006723076182866416,4.961512955746294,3.893914390438893e-06,3.5139825925341055e-05
395368,BASELINE,3,0.9184398839341863,0.004986803286019118,0.0076174323344458325,5.673268280084583,3.893914390438893e-06,3.5139825925341055e-05
395368,BASELINE,4,0.8991543624161038,0.005585362506940316,0.008488188659040313,6.362339216397234,3.893914390438893e-06,3.5139825925341055e-05
395376,BASELINE,1,0.9694602281459006,0.002539438178311156,0.003759798894360173,0.9659753705082869,3.879592085349792e-06,3.5010577242083816e-05
395376,BASELINE,2,0.9629251314768428,0.0028908959873029504,0.004146316633336336,1.1006927144780636,3.879592085349792e-06,3.5010577242083816e-05
