spring_id,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],embedding_dim,dropout,learning_rate,architecture
395103,xLSTM,3,0.3115428691621449,0.9434471700553074,1.9302883739771937,33.49238403870295,0.005035267806975523,0.0454397340267798,2.7664028057900666e-05,0.0002496483057602125,64,0.1,0.0001,slstm_first
395103,xLSTM,4,0.20448871698107407,1.0176800115115754,2.0753305809590556,37.365180995769336,0.005035267806975523,0.0454397340267798,2.7664028057900666e-05,0.0002496483057602125,64,0.1,0.0001,slstm_first
395111,xLSTM,1,0.4410835533680739,0.36482735963580587,0.9397212345187449,33.14356996957282,0.0030857120251928196,0.02784637065654279,2.7736110262750733e-05,0.00025029879672554175,64,0.1,0.0001,slstm_first
395111,xLSTM,2,0.29923089859502794,0.47589284921977887,1.0522834030839434,47.372670570384564,0.0030857120251928196,0.02784637065654279,2.7736110262750733e-05,0.00025029879672554175,64,0.1,0.0001,slstm_first
395111,xLSTM,3,0.18082583865349944,0.532948718301613,1.1377612115562081,54.471492147105664,0.0030857120251928196,0.02784637065654279,2.7736110262750733e-05,0.00025029879672554175,64,0.1,0.0001,slstm_first
395111,xLSTM,4,0.19042399016222544,0.5475370792747855,1.1312544771393722,56.199719892792416,0.0030857120251928196,0.02784637065654279,2.7736110262750733e-05,0.00025029879672554175,64,0.1,0.0001,slstm_first
395137,xLSTM,1,0.49732547474490374,0.11084572838115087,0.2528049386230775,33.96384069150598,0.0024009193577759717,0.021666600709092626,1.9881238519098317e-05,0.0001794141295085218,96,0.1,0.0001,only_slstm
395137,xLSTM,2,0.2611581368241276,0.142904601449547,0.3065247093632231,41.41024314464458,0.0024009193577759717,0.021666600709092626,1.9881238519098317e-05,0.0001794141295085218,96,0.1,0.0001,only_slstm
395137,xLSTM,3,0.19148187201733924,0.16194459354537097,0.32071898099895596,49.516928995680026,0.0024009193577759717,0.021666600709092626,1.9881238519098317e-05,0.0001794141295085218,96,0.1,0.0001,only_slstm
395137,xLSTM,4,0.1663108481645349,0.16964367671357525,0.3259015166738448,53.009280295690495,0.0024009193577759717,0.021666600709092626,1.9881238519098317e-05,0.0001794141295085218,96,0.1,0.0001,only_slstm
